iter	Logloss	Accuracy	Precision	Recall	F1
36	0.3937770063	0.9430478734	0.9430478734	1	0.9706892828
37	0.3892647983	0.9430478734	0.9430478734	1	0.9706892828
38	0.3843814803	0.9430478734	0.9430478734	1	0.9706892828
39	0.3797119167	0.9430478734	0.9430478734	1	0.9706892828
40	0.3754232724	0.9430478734	0.9430478734	1	0.9706892828
41	0.3710940267	0.9430478734	0.9430478734	1	0.9706892828
42	0.3672019942	0.9430478734	0.9430478734	1	0.9706892828
43	0.3631823428	0.9430478734	0.9430478734	1	0.9706892828
44	0.3592994996	0.9430478734	0.9430478734	1	0.9706892828
45	0.3557101733	0.9430478734	0.9430478734	1	0.9706892828
46	0.3522210514	0.9430478734	0.9430478734	1	0.9706892828
47	0.3484903204	0.9430478734	0.9430478734	1	0.9706892828
48	0.3451756414	0.9430478734	0.9430478734	1	0.9706892828
49	0.3415492051	0.9430478734	0.9430478734	1	0.9706892828
50	0.3381235329	0.9430478734	0.9430478734	1	0.9706892828
51	0.3350862913	0.9430478734	0.9430478734	1	0.9706892828
52	0.3320736854	0.9430478734	0.9430478734	1	0.9706892828
53	0.3289132882	0.9430478734	0.9430478734	1	0.9706892828
54	0.3257499719	0.9430478734	0.9430478734	1	0.9706892828
55	0.322624147	0.9430478734	0.9430478734	1	0.9706892828
56	0.3195952031	0.9430478734	0.9430478734	1	0.9706892828
57	0.3165587632	0.9430478734	0.9430478734	1	0.9706892828
58	0.3135701996	0.9430478734	0.9430478734	1	0.9706892828
59	0.310652018	0.9430478734	0.9430478734	1	0.9706892828
60	0.3076412176	0.9430478734	0.9430478734	1	0.9706892828
61	0.3049742407	0.9430478734	0.9430478734	1	0.9706892828
62	0.302208129	0.9430478734	0.9430478734	1	0.9706892828
63	0.2998623001	0.9430478734	0.9430478734	1	0.9706892828
64	0.2971809267	0.9430478734	0.9430478734	1	0.9706892828
65	0.294783704	0.9430478734	0.9430478734	1	0.9706892828
66	0.2927996756	0.9430478734	0.9430478734	1	0.9706892828
67	0.2906764834	0.9430478734	0.9430478734	1	0.9706892828
68	0.2887948156	0.9430478734	0.9430478734	1	0.9706892828
69	0.286488751	0.9430478734	0.9430478734	1	0.9706892828
70	0.2840470672	0.9430478734	0.9430478734	1	0.9706892828
71	0.2818022403	0.9430478734	0.9430478734	1	0.9706892828
72	0.2801246017	0.9430478734	0.9430478734	1	0.9706892828
73	0.2779540161	0.9430478734	0.9430478734	1	0.9706892828
74	0.275869516	0.9430478734	0.9430478734	1	0.9706892828
75	0.2733781089	0.9430478734	0.9430478734	1	0.9706892828
76	0.2714324328	0.9430478734	0.9430478734	1	0.9706892828
77	0.2697161077	0.9430478734	0.9430478734	1	0.9706892828
78	0.2672919376	0.9430478734	0.9430478734	1	0.9706892828
79	0.2649008469	0.9430478734	0.9430478734	1	0.9706892828
80	0.2635799772	0.9430478734	0.9430478734	1	0.9706892828
81	0.2615212694	0.9430478734	0.9430478734	1	0.9706892828
82	0.2596284355	0.9430478734	0.9430478734	1	0.9706892828
83	0.2575548717	0.9430478734	0.9430478734	1	0.9706892828
84	0.2555750297	0.9430478734	0.9430478734	1	0.9706892828
85	0.253710531	0.9430478734	0.9430478734	1	0.9706892828
86	0.2518269627	0.9430478734	0.9430478734	1	0.9706892828
87	0.25007875	0.9430478734	0.9430478734	1	0.9706892828
88	0.2483185817	0.9430478734	0.9430478734	1	0.9706892828
89	0.2465895279	0.9430478734	0.9430478734	1	0.9706892828
90	0.244963076	0.9430478734	0.9430478734	1	0.9706892828
91	0.2440212056	0.9430478734	0.9430478734	1	0.9706892828
92	0.2421067184	0.9430478734	0.9430478734	1	0.9706892828
93	0.2405068366	0.9430478734	0.9430478734	1	0.9706892828
94	0.2396469899	0.9430478734	0.9430478734	1	0.9706892828
95	0.2381097421	0.9430478734	0.9430478734	1	0.9706892828
96	0.2367831784	0.9430478734	0.9430478734	1	0.9706892828
97	0.2355054476	0.9430478734	0.9430478734	1	0.9706892828
98	0.2347389851	0.9430478734	0.9430478734	1	0.9706892828
99	0.233209375	0.9430478734	0.9430478734	1	0.9706892828
